科目代號,永續課程
302795001,3
302809001,4
302826001,1
302899001,4
302900011,2
302901001,3
302926001,3
303019001,3
303019011,2
303021001,1
303021011,4
303032001,2
303032011,2
303035001,3
303043011,2
303043021,2
303805001,5
303807001,4
303808001,4
303809001,2
303810001,2
303811001,2
303816001,2
303840001,3
303845001,4
303874001,3
303884001,3
303891001,1
303896001,2
303899001,3
303962001,2
304004002,1
304008001,3
304023011,2
304026001,1
304028011,2
304834001,2
304835001,1
304851001,2
304908001,3
305009001,1
305009011,1
305018001,3
305021001,3
305023001,2
305049001,2
305049011,2
305051001,1
305666001,1
305667001,3
305668001,3
305669001,5
305679001,4
305740001,1
305763001,3
305764001,1
305771001,1
305775001,3
305778001,3
305821001,3
305866001,2
306008001,2
306008011,1
306016002,2
306016012,2
306016022,3
306016032,3
306016042,2
306016052,1
306025001,4
306048001,1
306048011,1
306050001,3
306050011,3
306716001,1
306717001,1
306720001,3
306721001,2
306723001,1
306735001,4
306859001,1
307034001,3
307835001,3
307851001,5
307852001,4
307857001,5
307889011,2
307901001,2
307932001,4
307942001,3
308002002,3
308003002,3
308010001,3
308013001,4
308044001,4
308846001,1
308847001,4
308853001,3
308870001,4
308873001,4
308878001,2
308945001,1
308951012,4
351012001,3
351022001,3
351029011,1
351030001,3
351031011,3
351035001,2
351708001,1
351709001,4
351710001,5
351715001,1
351719001,4
351720001,3
351724001,1
351729001,2
351735001,1
351737001,3
351780011,5
351785001,2
351792001,4
351880001,1
351906001,1
351946001,1
352026002,1
352030001,2
352045001,5
352056001,1
352058001,1
352064001,1
352067001,5
352722001,1
352724001,4
352734001,3
352739001,4
352746001,1
352747001,2
352751001,2
352769001,3
352785001,4
352788001,2
352870001,1
353008011,1
353076001,2
353748001,5
353749001,3
353750001,4
353753001,4
353756001,3
353757001,3
353785001,2
353789001,3
353795001,2
353798001,4
353804001,2
353810001,2
353813001,1
353816001,3
353844001,3
353848001,2
353915001,3
354001002,1
354020001,3
354709001,1
354714001,1
354715001,1
354719002,1
354724001,2
354749002,1
354755001,1
354787001,3
354829001,1
354939001,2
355011001,4
355101001,2
355102001,2
355103001,4
355107001,2
355494001,3
355495001,1
355496001,3
355497001,1
355501001,1
355502001,2
355511001,1
355516001,1
355520001,2
355524001,2
355529001,3
355625001,2
355630001,3
355668001,1
355711001,4
356003001,1
356010001,1
356016001,1
356017001,1
356018001,1
356019001,2
356024001,3
356101001,2
356102001,2
356103001,5
356107001,2
356340001,1
356341001,1
356342001,3
356345001,2
356346001,1
356347001,1
356348001,4
356350001,2
356358001,1
356369001,2
356375001,3
356380001,1
356381001,2
356389001,4
356411001,1
356813001,1
357029001,1
357031001,4
357036001,5
357040001,4
357043001,2
357855001,3
357856001,2
357867001,3
357867011,3
357868001,2
357875001,4
357891001,5
357892001,4
357910001,4
357920001,2
357924001,4
358002001,3
358003002,2
358007001,4
358016001,1
358024001,4
358032001,1
358035001,4
358039001,5
358045011,1
358063001,4
358068001,5
358070001,4
358770001,1
358771001,5
358775001,1
358777001,4
358795001,1
358807001,4
358812001,1
358870001,1
358901001,3
363001001,1
363010001,3
363014001,5
363014011,4
363015001,1
363015011,3
363017001,4
363018001,2
363018011,3
363020001,1
363020011,1
363023001,5
363023011,5
363857001,1
363860001,1
363861001,3
363866001,1
363877001,3
363881001,1
363888001,1
363899001,3
363905001,3
363919001,2
363931001,2
363932001,2
363933001,2
363938001,2
363939001,1
363945001,1
363946001,2
363949001,2
363950001,3
364006001,4
364018001,3
364040001,3
364042001,3
364049001,3
364075001,3
364087001,3
364089001,4
364090001,2
364101001,3
364102001,3
364103001,2
364107001,2
364151001,1
364754001,5
364755001,2
364755011,2
364761001,4
364762001,2
364767001,3
364770011,2
364773001,2
364776001,1
364787001,2
364788001,5
364792001,2
364801001,4
364803001,5
364808001,4
364810001,2
364819001,3
364827001,2
364830011,2
364908001,4
364927001,3
364929001,1
400856001,4
400857001,5
400858001,3
400860001,2
400861001,1
400869001,1
400870001,1
400890001,4
400893001,1
400903001,1
400904001,4
400909002,1
400910002,1
400912002,1
401033011,3
401114001,4
401115001,2
401118001,3
401119001,3
401124001,2
401125001,4
401132001,3
401135001,2
401139001,2
401142001,2
401146001,4
401147001,3
402051001,4
402051011,1
402075001,3
402078001,2
402079001,2
402081001,2
402083001,3
402084001,2
402087001,3
402093001,2
402094001,2
402096001,2
402101001,3
402103001,1
402104001,2
402105001,3
403053001,2
403056001,2
403059001,1
403060001,4
403061001,2
403070001,1
403073002,2
403076001,3
403085001,3
403088001,2
403089001,3
403090001,1
403091001,5
403094001,1
403097001,1
403098001,1
403099001,3
403103001,1
403106001,1
403107001,2
403108001,4
405002001,2
405002011,2
405002021,2
405002031,2
405003001,2
405003011,1
405003021,2
405004001,4
405004011,2
405004021,2
